Vísitala neysluverðs og breytingar, grunnur 1988=100;;;;;;;;;;;;
;;;;;;;;;;;;
Mánuður;Vísitala neysluverðs Vísitala;Vísitala neysluverðs Mánaðarbreyting, %;Vísitala neysluverðs Ársbreyting, %;Vísitala neysluverðs Ársbreyting síðasta mánuð, %;Vísitala neysluverðs Ársbreyting síðustu 3 mánuði, %;Vísitala neysluverðs Ársbreyting síðustu 6 mánuði, %;Vísitala neysluverðs án húsnæðis Vísitala;Vísitala neysluverðs án húsnæðis Mánaðarbreyting, %;Vísitala neysluverðs án húsnæðis Ársbreyting, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðasta mánuð, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðustu 3 mánuði, %;Vísitala neysluverðs án húsnæðis Ársbreyting síðustu 6 mánuði, %
2008M02;286.2;1.38;6.8;17.9;9.3;9.8;254.9;1.55;3.9;20.3;8.6;8.2
2008M03;290.4;1.47;8.7;19.1;12.8;10.1;258.7;1.49;6.4;19.4;12.1;9.0
2008M04;300.3;3.41;11.8;49.5;28.0;16.6;269.6;4.21;10.6;64.1;33.1;17.5
2008M05;304.4;1.37;12.3;17.7;28.0;18.3;273.6;1.48;11.4;19.3;32.7;20.1
2008M06;307.1;0.89;12.7;11.2;25.1;18.8;275.9;0.84;12.1;10.6;29.4;20.4
2008M07;310.0;0.94;13.6;11.9;13.6;20.6;278.3;0.87;13.2;11.0;13.5;22.9
2008M08;312.8;0.90;14.5;11.4;11.5;19.5;280.8;0.90;14.6;11.3;10.9;21.4
2008M09;315.5;0.86;14.0;10.9;11.4;18.0;284.3;1.25;14.7;16.0;12.7;20.8
2008M10;322.3;2.16;15.9;29.2;16.8;15.2;292.9;3.02;17.8;43.0;22.7;18.0
2008M11;327.9;1.74;17.1;23.0;20.8;16.0;298.3;1.84;19.5;24.5;27.4;18.9
2008M12;332.9;1.52;18.1;19.9;24.0;17.5;303.4;1.71;20.7;22.6;29.7;20.9
2009M01;334.8;0.57;18.6;7.1;16.4;16.6;304.7;0.43;21.4;5.3;17.1;19.9
2009M02;336.5;0.51;17.6;6.3;10.9;15.7;308.5;1.25;21.0;16.0;14.4;20.7
2009M03;334.5;-0.59;15.2;-6.9;1.9;12.4;309.0;0.16;19.4;2.0;7.6;18.1
2009M04;336.0;0.45;11.9;5.5;1.4;8.7;311.6;0.84;15.6;10.6;9.4;13.2
2009M05;339.8;1.13;11.6;14.4;4.0;7.4;316.1;1.44;15.5;18.8;10.2;12.3
2009M06;344.5;1.38;12.2;17.9;12.5;7.1;322.1;1.90;16.7;25.3;18.1;12.7
2009M07;345.1;0.17;11.3;2.1;11.3;6.2;323.9;0.56;16.4;6.9;16.7;13.0
2009M08;346.9;0.52;10.9;6.4;8.6;6.3;326.1;0.68;16.1;8.5;13.3;11.7
2009M09;349.6;0.78;10.8;9.8;6.1;9.2;328.9;0.86;15.7;10.8;8.7;13.3
2009M10;353.6;1.14;9.7;14.6;10.2;10.8;332.5;1.09;13.5;14.0;11.1;13.9
2009M11;356.2;0.74;8.6;9.2;11.2;9.9;335.7;0.96;12.5;12.2;12.3;12.8
2009M12;357.9;0.48;7.5;5.9;9.8;7.9;337.8;0.63;11.3;7.8;11.3;10.0
2010M01;356.8;-0.31;6.6;-3.6;3.7;6.9;337.9;0.03;10.9;0.4;6.7;8.8
2010M02;360.9;1.15;7.3;14.7;5.4;8.2;342.4;1.33;11.0;17.2;8.2;10.2
2010M03;362.9;0.55;8.5;6.9;5.7;7.8;346.0;1.05;12.0;13.4;10.1;10.7
2010M04;363.8;0.25;8.3;3.0;8.1;5.9;346.9;0.26;11.3;3.2;11.1;8.8
2010M05;365.3;0.41;7.5;5.1;5.0;5.2;347.9;0.29;10.1;3.5;6.6;7.4
2010M06;364.1;-0.33;5.7;-3.9;1.3;3.5;346.3;-0.46;7.5;-5.4;0.3;5.1
2010M07;361.7;-0.66;4.8;-7.6;-2.3;2.8;343.6;-0.78;6.1;-9.0;-3.8;3.4
2010M08;362.6;0.25;4.5;3.0;-2.9;0.9;344.9;0.38;5.8;4.6;-3.4;1.5
2010M09;362.6;0.00;3.7;0.0;-1.6;-0.2;344.9;0.00;4.9;0.0;-1.6;-0.6
2010M10;365.3;0.74;3.3;9.3;4.0;0.8;347.7;0.81;4.6;10.2;4.9;0.5
2010M11;365.5;0.05;2.6;0.7;3.2;0.1;348.0;0.09;3.7;1.0;3.6;0.1
2010M12;366.7;0.33;2.5;4.0;4.6;1.4;349.5;0.43;3.5;5.3;5.4;1.9
2011M01;363.4;-0.90;1.8;-10.3;-2.1;0.9;346.1;-0.97;2.4;-11.1;-1.8;1.5
2011M02;367.7;1.18;1.9;15.2;2.4;2.8;350.1;1.16;2.2;14.8;2.4;3.0
2011M03;371.2;0.95;2.3;12.0;5.0;4.8;353.9;1.09;2.3;13.8;5.1;5.3
2011M04;374.1;0.78;2.8;9.8;12.3;4.9;356.2;0.65;2.7;8.1;12.2;4.9
2011M05;377.6;0.94;3.4;11.8;11.2;6.7;358.8;0.73;3.1;9.1;10.3;6.3
2011M06;379.5;0.50;4.2;6.2;9.2;7.1;360.7;0.53;4.2;6.5;7.9;6.5
2011M07;379.9;0.11;5.0;1.3;6.3;9.3;359.9;-0.22;4.7;-2.6;4.2;8.1
2011M08;380.9;0.26;5.0;3.2;3.5;7.3;361.2;0.36;4.7;4.4;2.7;6.4
2011M09;383.3;0.63;5.7;7.8;4.1;6.6;363.9;0.75;5.5;9.3;3.6;5.7
2011M10;384.6;0.34;5.3;4.1;5.0;5.7;365.0;0.30;5.0;3.7;5.8;5.0
2011M11;384.6;0.00;5.2;0.0;3.9;3.7;364.4;-0.16;4.7;-2.0;3.6;3.1
2011M12;386.0;0.36;5.3;4.5;2.8;3.5;365.7;0.36;4.6;4.4;2.0;2.8
2012M01;387.1;0.28;6.5;3.5;2.6;3.8;365.9;0.05;5.7;0.7;1.0;3.4
2012M02;391.0;1.01;6.3;12.8;6.8;5.4;371.1;1.42;6.0;18.5;7.6;5.6
2012M03;395.1;1.05;6.4;13.3;9.8;6.3;375.9;1.29;6.2;16.7;11.6;6.7
2012M04;398.2;0.78;6.4;9.8;12.0;7.2;378.7;0.74;6.3;9.3;14.7;7.6
2012M05;398.1;-0.03;5.4;-0.3;7.5;7.1;378.4;-0.08;5.5;-0.9;8.1;7.8
2012M06;400.1;0.50;5.4;6.2;5.2;7.4;380.7;0.61;5.5;7.5;5.2;8.4
2012M07;397.2;-0.72;4.6;-8.4;-1.0;5.3;376.9;-1.00;4.7;-11.3;-1.9;6.1
2012M08;396.6;-0.15;4.1;-1.8;-1.5;2.9;376.6;-0.08;4.3;-1.0;-1.9;3.0
2012M09;399.6;0.76;4.3;9.5;-0.5;2.3;380.3;0.98;4.5;12.4;-0.4;2.4
2012M10;400.7;0.28;4.2;3.4;3.6;1.3;382.1;0.47;4.7;5.8;5.6;1.8
2012M11;402.0;0.32;4.5;4.0;5.6;2.0;383.5;0.37;5.2;4.5;7.5;2.7
2012M12;402.2;0.05;4.2;0.6;2.6;1.1;383.3;-0.05;4.8;-0.6;3.2;1.4
2013M01;403.3;0.27;4.2;3.3;2.6;3.1;384.1;0.21;5.0;2.5;2.1;3.9
2013M02;409.9;1.64;4.8;21.5;8.1;6.8;391.9;2.03;5.6;27.3;9.1;8.3
2013M03;410.7;0.20;3.9;2.4;8.7;5.6;392.5;0.15;4.4;1.9;10.0;6.5
2013M04;411.5;0.19;3.3;2.4;8.4;5.5;392.0;-0.13;3.5;-1.5;8.5;5.2
2013M05;411.3;-0.05;3.3;-0.6;1.4;4.7;391.3;-0.18;3.4;-2.1;-0.6;4.1
2013M06;413.5;0.53;3.3;6.6;2.8;5.7;393.6;0.59;3.4;7.3;1.1;5.4
2013M07;412.4;-0.27;3.8;-3.1;0.9;4.6;391.2;-0.61;3.8;-7.1;-0.8;3.7
2013M08;413.8;0.34;4.3;4.2;2.5;1.9;392.6;0.36;4.2;4.4;1.3;0.4
2013M09;415.2;0.34;3.9;4.1;1.7;2.2;394.2;0.41;3.7;5.0;0.6;0.9
2013M10;415.2;0.00;3.6;0.0;2.7;1.8;393.7;-0.13;3.0;-1.5;2.6;0.9
2013M11;416.7;0.36;3.7;4.4;2.8;2.6;394.5;0.20;2.9;2.5;1.9;1.6
2013M12;418.9;0.53;4.2;6.5;3.6;2.6;395.8;0.33;3.3;4.0;1.6;1.1
2014M01;415.9;-0.72;3.1;-8.3;0.7;1.7;391.5;-1.09;1.9;-12.3;-2.2;0.2
2014M02;418.7;0.67;2.1;8.4;1.9;2.4;394.9;0.87;0.8;10.9;0.4;1.2
2014M03;419.7;0.24;2.2;2.9;0.8;2.2;395.8;0.23;0.8;2.8;0.0;0.8
2014M04;421.0;0.31;2.3;3.8;5.0;2.8;396.0;0.05;1.0;0.6;4.7;1.2
2014M05;421.3;0.07;2.4;0.9;2.5;2.2;395.7;-0.08;1.1;-0.9;0.8;0.6
2014M06;422.8;0.36;2.2;4.4;3.0;1.9;397.6;0.48;1.0;5.9;1.8;0.9
2014M07;422.1;-0.17;2.4;-2.0;1.0;3.0;396.7;-0.23;1.4;-2.7;0.7;2.7
2014M08;423.1;0.24;2.2;2.9;1.7;2.1;397.4;0.18;1.2;2.1;1.7;1.3
2014M09;422.6;-0.12;1.8;-1.4;-0.2;1.4;395.7;-0.43;0.4;-5.0;-1.9;-0.1
2014M10;423.2;0.14;1.9;1.7;1.0;1.0;395.8;0.03;0.5;0.3;-0.9;-0.1
2014M11;421.0;-0.52;1.0;-6.1;-2.0;-0.1;393.4;-0.61;-0.3;-7.0;-4.0;-1.2
2014M12;422.3;0.31;0.8;3.8;-0.3;-0.2;394.3;0.23;-0.4;2.8;-1.4;-1.7
2015M01;419.3;-0.71;0.8;-8.2;-3.6;-1.3;389.2;-1.29;-0.6;-14.5;-6.5;-3.7
2015M02;422.1;0.67;0.8;8.3;1.0;-0.5;391.4;0.57;-0.9;7.0;-2.0;-3.0
2015M03;426.4;1.02;1.6;12.9;3.9;1.8;395.4;1.02;-0.1;13.0;1.1;-0.2
2015M04;427.0;0.14;1.4;1.7;7.6;1.8;395.6;0.05;-0.1;0.6;6.7;-0.1
2015M05;428.2;0.28;1.6;3.4;5.9;3.4;396.8;0.30;0.3;3.7;5.6;1.7
2015M06;429.3;0.26;1.5;3.1;2.7;3.3;398.2;0.35;0.2;4.3;2.9;2.0
2015M07;430.0;0.16;1.9;2.0;2.8;5.2;398.3;0.03;0.4;0.3;2.8;4.7
2015M08;432.3;0.53;2.2;6.6;3.9;4.9;400.3;0.50;0.7;6.2;3.6;4.6
2015M09;430.6;-0.39;1.9;-4.6;1.2;2.0;397.8;-0.62;0.5;-7.2;-0.4;1.2
2015M10;430.9;0.07;1.8;0.8;0.8;1.8;397.0;-0.20;0.3;-2.4;-1.3;0.7
2015M11;429.4;-0.35;2.0;-4.1;-2.7;0.6;394.7;-0.58;0.3;-6.7;-5.5;-1.1
2015M12;430.8;0.33;2.0;4.0;0.2;0.7;395.8;0.28;0.4;3.4;-2.0;-1.2
2016M01;428.3;-0.58;2.1;-6.7;-2.4;-0.8;391.6;-1.06;0.6;-12.0;-5.3;-3.3
2016M02;431.2;0.68;2.2;8.4;1.7;-0.5;394.3;0.69;0.7;8.6;-0.4;-3.0
2016M03;432.8;0.37;1.5;4.5;1.9;1.0;396.1;0.46;0.2;5.6;0.3;-0.9
2016M04;433.7;0.21;1.6;2.5;5.1;1.3;396.5;0.10;0.2;1.2;5.1;-0.3
2016M05;435.5;0.42;1.7;5.1;4.0;2.9;397.8;0.33;0.3;4.0;3.6;1.6
2016M06;436.3;0.18;1.6;2.2;3.3;2.6;398.2;0.10;0.0;1.2;2.1;1.2
2016M07;434.9;-0.32;1.1;-3.8;1.1;3.1;396.0;-0.55;-0.6;-6.4;-0.5;2.3
2016M08;436.4;0.34;0.9;4.2;0.8;2.4;396.5;0.13;-0.9;1.5;-1.3;1.1
2016M09;438.5;0.48;1.8;5.9;2.0;2.7;396.1;-0.10;-0.4;-1.2;-2.1;0.0
2016M10;438.5;0.00;1.8;0.0;3.4;2.2;395.0;-0.28;-0.5;-3.3;-1.0;-0.8
2016M11;438.4;-0.02;2.1;-0.3;1.8;1.3;393.4;-0.41;-0.3;-4.8;-3.1;-2.2
2016M12;439.0;0.14;1.9;1.7;0.5;1.2;392.7;-0.18;-0.8;-2.1;-3.4;-2.7
2017M01;436.5;-0.57;1.9;-6.6;-1.8;0.7;388.0;-1.20;-0.9;-13.5;-6.9;-4.0
2017M02;439.6;0.71;1.9;8.9;1.1;1.5;390.3;0.59;-1.0;7.3;-3.1;-3.1
2017M03;439.9;0.07;1.6;0.8;0.8;0.6;389.2;-0.28;-1.7;-3.3;-3.5;-3.5
2017M04;442.1;0.50;1.9;6.2;5.2;1.6;389.2;0.00;-1.8;0.0;1.2;-2.9
2017M05;443.0;0.20;1.7;2.5;3.1;2.1;387.6;-0.41;-2.6;-4.8;-2.7;-2.9
2017M06;443.0;0.00;1.5;0.0;2.8;1.8;386.0;-0.41;-3.1;-4.8;-3.2;-3.4
2017M07;442.9;-0.02;1.8;-0.3;0.7;3.0;383.8;-0.57;-3.1;-6.6;-5.4;-2.2
2017M08;444.0;0.25;1.7;3.0;0.9;2.0;384.5;0.18;-3.0;2.2;-3.2;-2.9
2017M09;444.6;0.14;1.4;1.6;1.5;2.1;383.7;-0.21;-3.1;-2.5;-2.4;-2.8
2017M10;446.7;0.47;1.9;5.8;3.5;2.1;386.1;0.63;-2.3;7.8;2.4;-1.6
2017M11;446.0;-0.16;1.7;-1.9;1.8;1.4;384.2;-0.49;-2.3;-5.7;-0.3;-1.7
2017M12;447.2;0.27;1.9;3.3;2.4;1.9;386.6;0.62;-1.6;7.8;3.1;0.3
2018M01;446.8;-0.09;2.4;-1.1;0.1;1.8;384.4;-0.57;-0.9;-6.6;-1.7;0.3
2018M02;449.5;0.60;2.3;7.5;3.2;2.5;386.7;0.60;-0.9;7.4;2.6;1.1
2018M03;452.0;0.56;2.8;6.9;4.4;3.4;388.1;0.36;-0.3;4.4;1.6;2.3
2018M04;452.2;0.04;2.3;0.5;4.9;2.5;388.4;0.08;-0.2;0.9;4.2;1.2
2018M05;451.8;-0.09;2.0;-1.1;2.1;2.6;388.3;-0.03;0.2;-0.3;1.7;2.1
2018M06;454.6;0.62;2.6;7.7;2.3;3.3;390.1;0.46;1.1;5.7;2.1;1.8
2018M07;454.8;0.04;2.7;0.5;2.3;3.6;389.1;-0.26;1.4;-3.0;0.7;2.5
2018M08;455.7;0.20;2.6;2.4;3.5;2.8;389.5;0.10;1.3;1.2;1.2;1.5
2018M09;456.8;0.24;2.7;2.9;1.9;2.1;390.5;0.26;1.8;3.1;0.4;1.2
2018M10;459.4;0.57;2.8;7.0;4.1;3.2;392.8;0.59;1.7;7.3;3.9;2.3
2018M11;460.5;0.24;3.3;2.9;4.3;3.9;393.5;0.18;2.4;2.2;4.2;2.7
2018M12;463.9;0.74;3.7;9.2;6.4;4.1;397.2;0.94;2.7;11.9;7.0;3.7
2019M01;462.0;-0.41;3.4;-4.8;2.3;3.2;394.3;-0.73;2.6;-8.4;1.5;2.7
2019M02;462.9;0.19;3.0;2.4;2.1;3.2;394.9;0.15;2.1;1.8;1.4;2.8
2019M03;465.3;0.52;2.9;6.4;1.2;3.8;397.5;0.66;2.4;8.2;0.3;3.6
2019M04;467.0;0.37;3.3;4.5;4.4;3.3;399.4;0.48;2.8;5.9;5.3;3.4
2019M05;468.0;0.21;3.6;2.6;4.5;3.3;400.2;0.20;3.1;2.4;5.5;3.4
2019M06;469.8;0.38;3.3;4.7;3.9;2.6;401.7;0.37;3.0;4.6;4.3;2.3
2019M07;468.8;-0.21;3.1;-2.5;1.6;3.0;400.0;-0.42;2.8;-5.0;0.6;2.9
2019M08;470.1;0.28;3.2;3.4;1.8;3.1;401.6;0.40;3.1;4.9;1.4;3.4
2019M09;470.5;0.09;3.0;1.0;0.6;2.2;402.0;0.10;2.9;1.2;0.3;2.3
2019M10;472.2;0.36;2.8;4.4;2.9;2.2;402.9;0.22;2.6;2.7;2.9;1.8
2019M11;472.8;0.13;2.7;1.5;2.3;2.1;402.9;0.00;2.4;0.0;1.3;1.4
2019M12;473.3;0.11;2.0;1.3;2.4;1.5;404.0;0.27;1.7;3.3;2.0;1.1
2020M01;469.8;-0.74;1.7;-8.5;-2.0;0.4;400.5;-0.87;1.6;-9.9;-2.4;0.3
2020M02;474.1;0.92;2.4;11.6;1.1;1.7;404.3;0.95;2.4;12.0;1.4;1.3
2020M03;475.2;0.23;2.1;2.8;1.6;2.0;404.7;0.10;1.8;1.2;0.7;1.3
2020M04;477.5;0.48;2.2;6.0;6.7;2.3;407.0;0.57;1.9;7.0;6.7;2.0
2020M05;480.1;0.54;2.6;6.7;5.2;3.1;410.6;0.88;2.6;11.1;6.4;3.9
2020M06;482.2;0.44;2.6;5.4;6.0;3.8;412.7;0.51;2.7;6.3;8.1;4.4
2020M07;482.9;0.15;3.0;1.8;4.6;5.7;413.4;0.17;3.3;2.1;6.4;6.5
2020M08;485.1;0.46;3.2;5.6;4.2;4.7;415.3;0.46;3.4;5.7;4.7;5.5
2020M09;487.0;0.39;3.5;4.8;4.0;5.0;417.5;0.53;3.9;6.5;4.7;6.4
2020M10;489.1;0.43;3.6;5.3;5.2;4.9;419.3;0.43;4.1;5.3;5.8;6.1
2020M11;489.3;0.04;3.5;0.5;3.5;3.9;419.7;0.10;4.2;1.2;4.3;4.5
2020M12;490.3;0.20;3.6;2.5;2.7;3.4;420.3;0.14;4.0;1.7;2.7;3.7
2021M01;490.0;-0.06;4.3;-0.7;0.7;3.0;419.3;-0.24;4.7;-2.8;0.0;2.9
2021M02;493.4;0.69;4.1;8.7;3.4;3.5;422.5;0.76;4.5;9.6;2.7;3.5
2021M03;495.8;0.49;4.3;6.0;4.6;3.6;424.3;0.43;4.8;5.2;3.9;3.3
2021M04;499.3;0.71;4.6;8.8;7.8;4.2;425.9;0.38;4.6;4.6;6.4;3.2
2021M05;501.4;0.42;4.4;5.2;6.6;5.0;426.9;0.23;4.0;2.9;4.2;3.5
2021M06;502.7;0.26;4.3;3.2;5.7;5.1;427.5;0.14;3.6;1.7;3.1;3.5
2021M07;503.5;0.16;4.3;1.9;3.4;5.6;427.3;-0.05;3.4;-0.6;1.3;3.9
2021M08;505.8;0.46;4.3;5.6;3.6;5.1;429.0;0.40;3.3;4.9;2.0;3.1
2021M09;508.2;0.47;4.4;5.8;4.4;5.1;429.8;0.19;2.9;2.3;2.2;2.6
2021M10;511.2;0.59;4.5;7.3;6.3;4.8;431.8;0.47;3.0;5.7;4.3;2.8
2021M11;513.0;0.35;4.8;4.3;5.8;4.7;432.5;0.16;3.0;2.0;3.3;2.6
2021M12;515.3;0.45;5.1;5.5;5.7;5.1;434.1;0.37;3.3;4.5;4.1;3.1
2022M01;517.9;0.50;5.7;6.2;5.3;5.8;434.8;0.16;3.7;2.0;2.8;3.5
2022M02;523.9;1.16;6.2;14.8;8.8;7.3;440.3;1.26;4.2;16.3;7.4;5.3
2022M03;528.8;0.94;6.7;11.8;10.9;8.3;443.9;0.82;4.6;10.3;9.3;6.7
2022M04;535.4;1.25;7.2;16.0;14.2;9.7;448.3;0.99;5.3;12.6;13.0;7.8
2022M05;539.5;0.77;7.6;9.6;12.5;10.6;450.2;0.42;5.5;5.2;9.3;8.4
2022M06;547.1;1.41;8.8;18.3;14.6;12.7;455.1;1.09;6.5;13.9;10.5;9.9
2022M07;553.5;1.17;9.9;15.0;14.2;14.2;459.4;0.94;7.5;11.9;10.3;11.6
2022M08;555.1;0.29;9.7;3.5;12.1;12.3;459.6;0.04;7.1;0.5;8.6;9.0
2022M09;555.6;0.09;9.3;1.1;6.4;10.4;460.0;0.09;7.0;1.0;4.4;7.4
2022M10;559.3;0.67;9.4;8.3;4.3;9.1;463.0;0.65;7.2;8.1;3.2;6.7
2022M11;560.9;0.29;9.3;3.5;4.2;8.1;463.3;0.06;7.1;0.8;3.3;5.9
2022M12;564.6;0.66;9.6;8.2;6.6;6.5;466.8;0.76;7.5;9.5;6.0;5.2
2023M01;569.4;0.85;9.9;10.7;7.4;5.8;470.9;0.88;8.3;11.1;7.0;5.1
2023M02;577.3;1.39;10.2;18.0;12.2;8.2;479.4;1.81;8.9;23.9;14.6;8.8
2023M03;580.7;0.59;9.8;7.3;11.9;9.2;481.9;0.52;8.6;6.4;13.6;9.7
2023M04;588.3;1.31;9.9;16.9;14.0;10.6;487.1;1.08;8.7;13.7;14.5;10.7
2023M05;590.6;0.39;9.5;4.8;9.5;10.9;487.8;0.14;8.4;1.7;7.2;10.9
2023M06;595.6;0.85;8.9;10.6;10.7;11.3;491.1;0.68;7.9;8.4;7.9;10.7
2023M07;595.8;0.03;7.6;0.4;5.2;9.5;492.1;0.20;7.1;2.5;4.2;9.2
2023M08;597.8;0.34;7.7;4.1;5.0;7.2;494.5;0.49;7.6;6.0;5.6;6.4
2023M09;599.9;0.35;8.0;4.3;2.9;6.7;495.4;0.18;7.7;2.2;3.5;5.7
2023M10;603.5;0.60;7.9;7.4;5.3;5.2;496.8;0.28;7.3;3.4;3.9;4.0
2023M11;605.8;0.38;8.0;4.7;5.5;5.2;496.6;-0.04;7.2;-0.5;1.7;3.6
2023M12;608.3;0.41;7.7;5.1;5.7;4.3;497.9;0.26;6.7;3.2;2.0;2.8
2024M01;607.3;-0.16;6.7;-2.0;2.5;3.9;495.4;-0.50;5.2;-5.9;-1.1;1.3
