Fjöldi starfandi, starfa og vinnustunda eftir atvinnugreinum og ársfjórðungum 1991-2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ársfjórðungur;Mælikvarði;Starfandi;A. Landbúnaður, skógrækt og fiskveiðar;B-E. Framleiðsla, námugröftur, veitustarfsemi og meðhöndlun úrgangs;C. Framleiðsla;F. Byggingarstarfsemi og mannvirkjagerð;G-I. Heildsala og verslun, samgöngur og geymslusvæði, rekstur veitinga- og gististaða;J. Upplýsingar og fjarskipti;K. Fjármála- og vátryggingastarfsemi;M-N. Ýmis sérhæfð þjónusta;O-Q. Opinber stjórnsýsla, fræðslustarfsemi, heilbrigðis- og félagsþjónusta;R-U. Önnur starfsemi;Samtals
2003Á2;Fjöldi starfa;Starfandi alls;10300;23500;21200;9300;36200;8300;6300;13200;56700;9800;174600
2003Á3;Fjöldi starfa;Starfandi alls;10300;24000;21400;10300;37800;8300;6400;13500;58600;9800;180000
2003Á4;Fjöldi starfa;Starfandi alls;10000;23500;21200;9900;36600;8100;6200;13200;53600;10100;172300
2004Á1;Fjöldi starfa;Starfandi alls;9300;22300;20000;8900;34200;8000;6100;12500;50600;9500;162500
2004Á2;Fjöldi starfa;Starfandi alls;9700;23900;21400;10100;36400;8300;6500;13400;55500;10400;175400
2004Á3;Fjöldi starfa;Starfandi alls;9700;24200;21500;10800;38200;8200;6700;13800;56800;10300;179900
2004Á4;Fjöldi starfa;Starfandi alls;9800;23700;21200;10800;37500;8200;6600;13500;52500;10600;174400
2005Á1;Fjöldi starfa;Starfandi alls;9800;23200;20900;11900;39300;7700;6600;13500;51300;10200;174900
2005Á2;Fjöldi starfa;Starfandi alls;10300;24500;21900;13700;42300;8100;7000;14300;56100;11000;188700
2005Á3;Fjöldi starfa;Starfandi alls;10100;24600;21900;14800;43700;8300;7200;14800;57400;10900;193300
2005Á4;Fjöldi starfa;Starfandi alls;10000;24000;21600;14800;43000;8000;7000;14400;53300;11200;187300
2006Á1;Fjöldi starfa;Starfandi alls;9600;23100;20800;15300;41900;8200;7100;14000;52000;10400;183100
2006Á2;Fjöldi starfa;Starfandi alls;10200;24500;22000;17900;44800;8500;7400;15000;57400;11100;198400
2006Á3;Fjöldi starfa;Starfandi alls;10000;24900;22200;19000;46300;8500;7600;15600;59200;11000;203700
2006Á4;Fjöldi starfa;Starfandi alls;9800;24600;22200;18700;45800;8400;7500;15200;55300;11300;198400
2007Á1;Fjöldi starfa;Starfandi alls;9200;23900;21400;19000;43600;8500;7700;14900;54100;10700;193300
2007Á2;Fjöldi starfa;Starfandi alls;9700;25300;22600;20800;46200;8600;8300;16000;58900;11400;206900
2007Á3;Fjöldi starfa;Starfandi alls;9500;25600;22700;21700;47700;8800;8500;16500;60500;11100;211600
2007Á4;Fjöldi starfa;Starfandi alls;9100;25200;22500;20100;46400;8700;8400;15900;56500;11400;203700
2008Á1;Fjöldi starfa;Starfandi alls;8500;24800;22300;18200;46900;9000;8700;15700;55700;10900;200100
2008Á2;Fjöldi starfa;Starfandi alls;9000;25900;23100;19000;49200;9200;9100;16900;61700;11500;213000
2008Á3;Fjöldi starfa;Starfandi alls;8600;25600;22500;18400;49000;9000;8900;17100;63600;11200;213100
2008Á4;Fjöldi starfa;Starfandi alls;8800;24400;21800;15500;44600;8600;8900;15400;59700;11300;198700
2009Á1;Fjöldi starfa;Starfandi alls;8400;22500;20000;11300;40100;8200;7900;14100;57100;10800;181600
2009Á2;Fjöldi starfa;Starfandi alls;9300;23700;21000;11200;41800;8200;7800;14600;62300;11300;191400
2009Á3;Fjöldi starfa;Starfandi alls;9100;24100;21100;11600;43700;8200;7700;14800;63500;11200;195100
2009Á4;Fjöldi starfa;Starfandi alls;9000;23300;20800;10600;41800;8200;8100;14300;57800;11400;185800
2010Á1;Fjöldi starfa;Starfandi alls;8400;22400;20000;9100;39500;8100;7600;13400;56000;10800;176400
2010Á2;Fjöldi starfa;Starfandi alls;9200;23800;21100;9800;42600;8200;7900;14300;61300;11400;189600
2010Á3;Fjöldi starfa;Starfandi alls;9300;24300;21300;10100;44200;8200;7900;14900;62800;11400;194200
2010Á4;Fjöldi starfa;Starfandi alls;9000;23400;20900;9400;42100;8300;7600;14300;57900;11500;184700
2011Á1;Fjöldi starfa;Starfandi alls;8500;22500;20100;8500;40000;8300;7100;14000;55600;10900;176600
2011Á2;Fjöldi starfa;Starfandi alls;9300;24400;21800;9200;44200;8500;7600;15000;61400;11500;192500
